ID;Date;Respondent Organisation;Respondent position;Gender;District; compliance to quarantine restrictions;stigma;food and water in quarantine;trust in authorities;Trusting the Information;burial teams;safety and acceptance;access to health care;gender equality;surveillance teams;help lines;Ebola Response Making Progress;main reason people do not respect quarantine restrictions;main reason for non-compliance;main reason for compliance;complacency colleagues;complacency people;valued and appreciated;removal of checkpoints making fight against Ebola more difficult;removal of checkpoints makes...;welcomed in communities;people confident seeking medical help for non-Ebola illnesses;gender based violence (1-5);gender based violence (Y/N);Follow up to GBV;emotional stress;What is the highest stress factor?;corruption;communication activities ;feedback influencing oganization's actions;what else can be done to fight Ebola? (choose 3 options);;;;
GT_EbolaWorkersR2_21;04.12.2014;Child Fund;Area Manager;Male;Kailahun;2;5;2;;2;;2;1;2;2;3;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_22;04.12.2014;Child Fund;Social worker;Male;Kailahun;2;5;2;;1;2;2;2;1;2;1;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_23;04.12.2014;Child Fund;Volunteer;Male;Bombali;2;4;1;;2;2;2;1;1;2;1;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_24;04.12.2014;Child Fund;Volunteer;Male;Bombali;2;5;2;;1;2;2;2;1;2;1;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_25;04.12.2014;Child Fund;Volunteer;Male;Bombali;2;4;2;;1;2;2;2;1;1;1;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_26;04.12.2014;Child Fund;Teacher;Male;Makani;3;4;3;;4;3;3;2;2;2;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_27;04.12.2014;Child Fund;Nurse;Female;Makani;3;3;3;;3;3;3;2;3;3;3;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_28;04.12.2014;Child Fund;Nurse;Female;Makani;2;2;2;;3;2;3;3;2;2;3;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_29;04.12.2014;Child Fund;Nurse;Female;Makani;1;4;1;;2;1;4;4;2;2;3;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_30;04.12.2014;Child Fund;Nurse;Female;Makani;2;3;1;;3;1;3;4;3;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_31;04.12.2014;Child Fund;Care Giver;Female;Makani;3;5;2;;3;1;4;3;3;2;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_32;04.12.2014;Child Fund;Care Giver;Female;Makani;1;2;3;;3;1;4;3;2;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_33;04.12.2014;Child Fund;Care Giver;Female;Makani;1;4;3;;2;1;3;3;2;2;3;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_34;04.12.2014;Child Fund;Care Giver;Female;Makani;1;4;2;;3;1;3;3;1;3;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_35;04.12.2014;Child Fund;Care Giver;Female;Makani;1;4;3;;3;1;3;3;2;2;1;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_36;04.12.2014;Child Fund;Care Giver;Female;Makani;1;4;2;;2;2;3;3;2;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_37;04.12.2014;Child Fund;Center Manager;Female;Port Loko;1;3;2;;4;2;3;3;1;2;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_38;04.12.2014;Child Fund;Teacher;Male;Port Loko;1;2;2;;4;3;3;4;1;2;1;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_39;04.12.2014;Child Fund;Nurse;Female;Port Loko;1;3;1;;4;1;4;3;1;2;1;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_40;04.12.2014;Child Fund;Care Giver;Female;Port Loko;1;3;2;;4;1;3;3;1;1;1;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_41;04.12.2014;Child Fund;Care Giver;Female;Port Loko;1;2;2;;4;1;3;3;2;3;1;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_42;04.12.2014;Child Fund;Care Giver;Female;Port Loko;1;2;2;;4;1;4;4;1;2;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_43;04.12.2014;Child Fund;Care Giver;Female;Port Loko;1;4;2;;4;1;3;3;2;2;1;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_44;04.12.2014;Child Fund;Volunteer;Male;Bombali;1;3;3;;4;2;4;3;2;2;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_45;04.12.2014;Child Fund;Volunteer;Male;Bombali;3;1;3;;4;3;4;3;1;3;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_66;04.12.2014;Child Fund;Staff;Male;Western Area Urban;3;2;3;;2;2;2;3;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_67;04.12.2014;Child Fund;Staff;Female;Western Area Urban;3;2;3;;3;2;2;2;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_68;04.12.2014;Child Fund;Staff;Male;Western Area Urban;3;0;3;;2;3;2;2;3;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_69;04.12.2014;Child Fund;Staff;Male;Western Area Urban;2;0;2;;2;2;2;3;3;2;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_70;04.12.2014;Child Fund;Staff;Male;Bo;3;0;3;;0;0;0;0;3;0;0;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_71;04.12.2014;Child Fund;Staff;Male;Moyamba;3;2;3;;2;2;2;3;3;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_89;04.12.2014;Child Fund;Logistics Officer;Male;Pujehun;2;4;2;;1;2;2;3;4;2;3;6;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_90;04.12.2014;Child Fund;Program Officer;Male;Bombali;3;4;3;;1;1;2;2;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_91;04.12.2014;Child Fund;Project Officer;Male;Bo;3;3;2;;3;1;2;3;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_92;04.12.2014;Child Fund;Training Coordinator;Male;Bo;2;2;2;;1;2;2;2;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_101;04.12.2014;Child Fund;Monitor;Male;Western Area Rural;2;2;2;;1;3;2;3;5;3;3;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_102;04.12.2014;Child Fund;Warehouse Officer;Female;Western Area Rural;2;3;3;;3;3;4;4;4;3;3;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_103;04.12.2014;Child Fund;Asst M&E Officer;Male;Western Area Urban;2;2;1;;2;2;3;4;5;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_104;04.12.2014;Child Fund;Technical Officer;Male;Koinadugu;4;4;2;;3;3;4;3;4;3;3;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_105;04.12.2014;Child Fund;Area Manager;Male;Bombali;1;3;2;;1;3;4;3;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_106;04.12.2014;Child Fund;Project Assistant;Male;Koinadugu;4;1;3;;2;3;4;3;4;3;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR2_107;04.12.2014;Child Fund;Care Giver;Female;Port loko;1;3;2;;1;1;3;2;5;1;1;3;;;;;;;;;;;;;;;;;;;;;;;
