indid,indicator_name,dsid,region,period,value,source
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-31,355543059.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-01,356728238.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-03,358261220.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-04,359775485.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-05,369092962.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-08,369260962.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-09,370246982.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-10,370306895.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-11,374218958.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-12,374763103.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
