Priority;Hard to Reach Access Methods;Shelter Cluster Hub;Last Update;District HLCIT  Code;VDC / Municipality HLCIT  Code;Implementing agency;Sourcing Agency;Local partner agency;District;VDC / Municipalities;Municipal Ward;Action type;Action description;Targeting;# Items / # Man-hours / NPR;Total Number Households;Average cost per households (NPR);Female headed households;Vulnerable Caste / Ethnicity households ;Activity Status;Start date;Completion Date;Additional Comments
Priority;;Central;11/09/2015;524 2 05 29;524 2 05 29 5 006;UNHCR;Internal;Lutheran World Federation;Rasuwa;Jibjibe (Nilkantha);Unknown;NFI;Lighting (Lamps, Candles);Targeted group;50;50;3823;;;Completed;08/05/2015;08/05/2015;Dhaibung is an existing VDC/named as jibjibe(Nilkantha)
Priority;Truck access;East;11/09/2015;524 2 04 22;524 2 04 22 5 001;UNHCR;Internal;Lutheran World Federation;Dolakha;Bhirkot;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;440;440;3823;;;Completed;21/05/2015;23/05/2015;
Priority;;Central;11/09/2015;524 2 05 27;524 2 05 27 1 001;UNHCR;Internal;Lutheran World Federation;Kathmandu;Kathmandu Metropolitan;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;110;110;3823;;;Completed;10/05/2015;20/06/2015;
Priority;Tractor access;East;11/09/2015;524 2 05 23;524 2 05 23 5 001;UNHCR;Internal;Nepal Scouts;Sindhupalchok;Karthali;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;16;16;3823;;;Completed;14/05/2015;14/05/2015;
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 003;UNHCR;Internal;Nepal Scouts;Nuwakot;Kakani;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;12;12;3823;;;Completed;14/05/2015;14/05/2015;
Priority;Truck access;East;11/09/2015;524 2 04 22;524 2 04 22 5 003;UNHCR;Internal;Nepal Scouts;Dolakha;Jiri;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;18;18;3823;;;Completed;14/05/2015;14/05/2015;
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 075;UNHCR;Internal;Nepal Scouts;Kabhrepalanchok;Bhumlutar;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;18;18;3823;;;Completed;14/05/2015;14/05/2015;
Priority;0;Central;11/09/2015;524 2 05 27;524 2 05 27 5 017;UNHCR;Internal;Nepal Scouts;Kathmandu;Kapan;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;4;4;3823;;;Completed;14/05/2015;14/05/2015;
;;;11/09/2015;524 5 14 72;524 5 14 72 5 005;UNHCR;Internal;Nepal Scouts;Kanchanpur;Shankarpur;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;17;17;3823;;;Completed;14/05/2015;14/05/2015;
Priority;0;Central;11/09/2015;524 2 05 27;524 2 05 27 3 002;UNHCR;Internal;Nepal Scouts;Kathmandu;Kirtipur Municipality;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;16;16;3823;;;Completed;14/05/2015;14/05/2015;
Priority;0;Central;11/09/2015;524 2 05 27;524 2 05 27 5 044;UNHCR;Internal;Nepal Scouts;Kathmandu;Thankot;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;16;16;3823;;;Completed;14/05/2015;14/05/2015;
Priority;0;Central;11/09/2015;524 2 05 27;524 2 05 27 5 014;UNHCR;Internal;Nepal Scouts;Kathmandu;Sundarijal;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;12;12;3823;;;Completed;14/05/2015;14/05/2015;
Priority;;Central;11/09/2015;524 2 05 27;524 2 05 27 1 001;UNHCR;Internal;Nepal Scouts;Kathmandu;Kathmandu Metropolitan;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;14/05/2015;14/05/2015;
Priority;0;Central;11/09/2015;524 2 05 26;524 2 05 26 3 002;UNHCR;Internal;Nepal Scouts;Bhaktapur;Madhyapur Thimi Municipality;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;16;16;3823;;;Completed;14/05/2015;14/05/2015;
Priority;Truck access;Central;11/09/2015;524 2 05 29;524 2 05 29 5 005;UNHCR;Internal;Nepal Scouts;Rasuwa;Bhorle;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;9;9;3823;;;Completed;14/05/2015;14/05/2015;
Priority;Truck access;Central;11/09/2015;524 2 05 29;524 2 05 29 5 002;UNHCR;Internal;Nepal Scouts;Rasuwa;Dhunche;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;9;9;3823;;;Completed;14/05/2015;14/05/2015;
Priority;;West;11/09/2015;524 3 07 36;524 3 07 36 3 001;UNHCR;Internal;Nepal Scouts;Gorkha;Prithbinarayan Municipality;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;18;18;3823;;;Completed;14/05/2015;14/05/2015;
Priority;Truck access;West;11/09/2015;524 2 05 30;524 2 05 30 5 050;UNHCR;Internal;Nepal Scouts;Dhading;Thakre;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;18;18;3823;;;Completed;14/05/2015;14/05/2015;
Priority;;East;11/09/2015;524 2 04 20;524 2 04 20 3 001;UNHCR;Internal;Nepal Scouts;Sindhuli;Kamalami Municipality;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;25;25;3823;;;Completed;14/05/2015;14/05/2015;
Priority;Truck access;East;11/09/2015;524 2 04 21;524 2 04 21 5 001;UNHCR;Internal;Nepal Scouts;Ramechhap;Ramechhap;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;25;25;3823;;;Completed;14/05/2015;14/05/2015;
Priority;Truck access;East;11/09/2015;524 1 03 13;524 1 03 13 5 003;UNHCR;Internal;Nepal Scouts;Okhaldhunga;Okhaldhunga;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;25;25;3823;;;Completed;14/05/2015;14/05/2015;
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 013;UNHCR;Internal;Nepal Scouts;Nuwakot;Suryamati;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;16;16;3823;;;Completed;14/05/2015;14/05/2015;
Priority;No road access - possible helicopter landing sites;East;11/09/2015;524 2 05 23;524 2 05 23 5 051;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Sindhupalchok;Hagam;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;12;12;3823;;;Completed;15/05/2015;15/05/2015;
Priority;;East;11/09/2015;524 2 05 23;;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Sindhupalchok;;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;11;11;3823;;;Completed;15/05/2015;15/05/2015;Fulpingkot is an existing VDC 
Priority;;East;11/09/2015;524 2 05 24;524 2 05 24 5 064;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Kabhrepalanchok;Ryale Bihawar;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;02/06/2015;02/06/2015;
Priority;;West;11/09/2015;524 3 07 36;524 3 07 36 5 039;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Gorkha;Chunchet;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;12/06/2015;12/06/2015;
Priority;No road access - possibly no helicopter landing sites;West;11/09/2015;524 3 07 36;524 3 07 36 5 043;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Gorkha;Sirdibas;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;9;9;3823;;;Completed;12/06/2015;12/06/2015;
Priority;;West;11/09/2015;524 3 07 36;524 3 07 36 5 046;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Gorkha;Keroja;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;03/06/2015;03/06/2015;
Priority;No road access - possible helicopter landing sites;West;11/09/2015;524 3 07 36;524 3 07 36 5 045;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Gorkha;Kashigaun;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;9;9;3823;;;Completed;03/06/2015;03/06/2015;
Priority;No road access - possible helicopter landing sites;West;11/09/2015;524 3 07 36;524 3 07 36 5 049;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Gorkha;Manbu;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;9;9;3823;;;Completed;03/06/2015;03/06/2015;
Priority;;East;11/09/2015;524 2 05 23;524 2 05 23 5 053;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Sindhupalchok;Baramchae;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;20/06/2015;20/06/2015;
Priority;No road access - possible helicopter landing sites;East;11/09/2015;524 2 05 23;524 2 05 23 5 032;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Sindhupalchok;Selang;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;20/06/2015;20/06/2015;
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 05 23;524 2 05 23 5 072;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Sindhupalchok;Pangtang;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;23/06/2015;23/06/2015;
Priority;No road access - possibly no helicopter landing sites;West;11/09/2015;524 3 07 36;524 3 07 36 5 038;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Gorkha;Chhekampar;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;23/06/2015;23/06/2015;
Priority;Truck access;West;11/09/2015;524 3 07 36;524 3 07 36 5 051;UNHCR;Internal;PHASE Nepal (Practical Help Achieving Self Empowerment);Gorkha;Uhiya;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;06/06/2015;06/06/2015;
;;;11/09/2015;524 1 02 06;524 1 02 06 3 003;UNHCR;Internal;Regional Admisnistration Office - Dhankuta;Sunsari;Inarwa Municipality;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;144;144;3823;;;Completed;28/04/2015;15/06/2015;
;;;11/09/2015;524 1 03 12;524 1 03 12 5 040;UNHCR;Internal;Regional Admisnistration Office - Dhankuta;Khotang;Dikuwa;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;18;18;3823;;;Completed;30/04/2015;15/06/2015;
;;;11/09/2015;524 1 03 12;524 1 03 12 5 037;UNHCR;Internal;Regional Admisnistration Office - Dhankuta;Khotang;Bahunidadha;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;18;18;3823;;;Completed;30/04/2015;15/06/2015;
;;;11/09/2015;524 1 03 12;524 1 03 12 5 043;UNHCR;Internal;Regional Admisnistration Office - Dhankuta;Khotang;Badahare;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;18;18;3823;;;Completed;30/04/2015;15/06/2015;
;;;11/09/2015;524 1 03 12;524 1 03 12 5 038;UNHCR;Internal;Regional Admisnistration Office - Dhankuta;Khotang;Chyeshmitar;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;18;18;3823;;;Completed;30/04/2015;15/06/2015;
Priority;Tractor access;West;11/09/2015;524 3 07 36;524 3 07 36 5 055;UNHCR;Internal;Rotary Club of Kathmandu Mid-town;Gorkha;Dhawa;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;150;150;3823;;;Completed;10/05/2015;10/05/2015;
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 004;UNHCR;Internal;Save the Children;Nuwakot;Kumari;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;250;250;3823;;;Completed;07/05/2015;10/05/2015;
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 001;UNHCR;Internal;Save the Children;Nuwakot;Chauthe;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;150;150;3823;;;Completed;07/05/2015;10/05/2015;
Priority;Truck access;West;11/09/2015;524 2 05 30;524 2 05 30 5 044;UNHCR;Internal;Save the Children;Dhading;Kiranchok;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;325;325;3823;;;Completed;07/05/2015;10/05/2015;
Priority;;West;11/09/2015;524 2 05 30;524 2 05 30 5 042;UNHCR;Internal;Save the Children;Dhading;Bhumisthan;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;75;75;3823;;;Completed;07/05/2015;10/05/2015;
Priority;Tractor access;East;11/09/2015;524 2 05 23;524 2 05 23 5 004;UNHCR;Internal;The Last Resort;Sindhupalchok;Marming;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;108;108;3823;;;Completed;19/05/2015;19/05/2015;
Priority;;East;11/09/2015;524 2 05 23;524 2 05 23 5 007;UNHCR;Internal;The Last Resort;Sindhupalchok;Listokot;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;182;182;3823;;;Completed;19/05/2015;19/05/2015;
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 05 23;524 2 05 23 5 003;UNHCR;Internal;The Last Resort;Sindhupalchok;Gati;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;19/05/2015;19/05/2015;
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 04 21;524 2 04 21 5 020;UNHCR;Internal;Yellow House;Ramechhap;Gumdel;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;6;6;3823;;;Completed;17/05/2015;17/05/2015;
Priority;4x4/Pickup access;West;11/09/2015;524 2 05 30;524 2 05 30 5 034;UNHCR;Internal;Yellow House;Dhading;Nalang;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;2;2;3823;;;Completed;10/05/2015;10/05/2015;
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 05 23;524 2 05 23 5 016;UNHCR;Internal;Yellow House;Sindhupalchok;Chokati;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;38;38;3823;;;Completed;05/05/2015;21/05/2015;
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 3 001;UNHCR;Internal;Yellow House;Dolakha;Bhimeswor Municipality;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;2;2;3823;;;Completed;08/05/2015;08/05/2015;
Priority;Tractor access;East;11/09/2015;524 2 04 21;524 2 04 21 5 037;UNHCR;Internal;Yellow House;Ramechhap;Lakhanpur;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;4;4;3823;;;Completed;10/05/2015;10/05/2015;
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 5 040;UNHCR;Internal;Yellow House;Dolakha;Chilangkha;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;1;1;3823;;;Completed;14/05/2015;14/05/2015;
Priority;Truck access;East;11/09/2015;524 2 04 21;524 2 04 21 5 019;UNHCR;Internal;Yellow House;Ramechhap;Chuchure;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;55;55;3823;;;Completed;14/05/2015;14/05/2015;
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 5 018;UNHCR;Internal;Yellow House;Dolakha;Shahare;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;15/05/2015;15/05/2015;
Priority;Truck access;Central;11/09/2015;524 2 05 29;524 2 05 29 5 003;UNHCR;Internal;Yellow House;Rasuwa;Yarsa;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;15/05/2015;15/05/2015;
Priority;;Central;11/09/2015;524 2 05 29;524 2 05 29 5 016;UNHCR;Internal;Yellow House;Rasuwa;Briddim;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;11/05/2015;11/05/2015;
;;;11/09/2015;524 1 03 12;524 1 03 12 5 023;UNHCR;Internal;Yellow House;Khotang;Rakhawagndel;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;18;18;3823;;;Completed;16/05/2015;16/05/2015;
Priority;No road access - possibly no helicopter landing sites;Central;11/09/2015;524 2 05 29;524 2 05 29 5 013;UNHCR;Internal;Yellow House;Rasuwa;Timure;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;15;15;3823;;;Completed;16/05/2015;16/05/2015;
Priority;;East;11/09/2015;524 2 04 22;524 2 04 22 5 029;UNHCR;Internal;Yellow House;Dolakha;Alambu;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;15;15;3823;;;Completed;16/05/2015;16/05/2015;
Priority;No road access - possibly no helicopter landing sites;Central;11/09/2015;524 2 05 29;524 2 05 29 5 011;UNHCR;Internal;Yellow House;Rasuwa;Gatlang;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;15;15;3823;;;Completed;16/05/2015;16/05/2015;
Priority;Truck access;East;11/09/2015;524 2 04 21;524 2 04 21 5 054;UNHCR;Internal;Yellow House;Ramechhap;Phulasi;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;31;31;3823;;;Completed;17/05/2015;17/05/2015;
Priority;;East;11/09/2015;524 2 05 23;524 2 05 23 5 027;UNHCR;Internal;Yellow House;Sindhupalchok;Pangretar;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;2;2;3823;;;Completed;18/05/2015;18/05/2015;
Priority;4x4/Pickup access;East;11/09/2015;524 2 04 22;524 2 04 22 5 045;UNHCR;Internal;Yellow House;Dolakha;Katakuti;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;4;4;3823;;;Completed;18/05/2015;18/05/2015;
Priority;Tractor access;West;11/09/2015;524 3 07 36;524 3 07 36 5 059;UNHCR;Internal;Yellow House;Gorkha;Tandrang;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;2;2;3823;;;Completed;18/05/2015;18/05/2015;
Priority;4x4/Pickup access;West;11/09/2015;524 2 05 30;524 2 05 30 5 003;UNHCR;Internal;Yellow House;Dhading;Marpak;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;12;12;3823;;;Completed;18/05/2015;21/05/2015;
Priority;Truck access;East;11/09/2015;524 2 05 23;524 2 05 23 5 025;UNHCR;Internal;Yellow House;Sindhupalchok;Thulo Pakhar;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;19/05/2015;19/05/2015;
Priority;Truck access;East;11/09/2015;524 2 04 21;524 2 04 21 5 023;UNHCR;Internal;Yellow House;Ramechhap;Those;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;19/05/2015;19/05/2015;
;;;11/09/2015;524 1 03 11;524 1 03 11 5 012;UNHCR;Internal;Yellow House;Solukhumbu;Kanku;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;15;15;3823;;;Completed;19/05/2015;19/05/2015;
Priority;Truck access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 061;UNHCR;Internal;Yellow House;Nuwakot;Tupche;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;6;6;3823;;;Completed;20/05/2015;20/05/2015;
Priority;;East;11/09/2015;524 2 05 23;524 2 05 23 5 008;UNHCR;Internal;Yellow House;Sindhupalchok;Dhuyang;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;24;24;3823;;;Completed;20/05/2015;21/05/2015;
Priority;Truck access;East;11/09/2015;524 2 05 23;524 2 05 23 5 011;UNHCR;Internal;Yellow House;Sindhupalchok;Jethal;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;5;5;3823;;;Completed;20/05/2015;20/05/2015;
Priority;Truck access;West;11/09/2015;524 3 07 36;524 3 07 36 5 006;UNHCR;Internal;Yellow House;Gorkha;Darbung;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;15;15;3823;;;Completed;21/05/2015;21/05/2015;
Priority;Tractor access;East;11/09/2015;524 2 04 22;524 2 04 22 5 002;UNHCR;Internal;Yellow House;Dolakha;Gairimudi;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;30;30;3823;;;Completed;21/05/2015;21/05/2015;
;;;11/09/2015;524 1 03 11;524 1 03 11 5 004;UNHCR;Internal;Yellow House;Solukhumbu;Taksindhu;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;1;1;3823;;;Completed;21/05/2015;21/05/2015;
;;;11/09/2015;524 1 03 11;524 1 03 11 5 006;UNHCR;Internal;Yellow House;Solukhumbu;Chourikharka;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;20;20;3823;;;Completed;17/05/2015;17/05/2015;
Priority;;East;11/09/2015;524 2 05 23;524 2 05 23 5 020;UNHCR;Internal;Yellow House;Sindhupalchok;Lisangkhu;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;10;10;3823;;;Completed;22/05/2015;22/05/2015;
Priority;Truck access;East;11/09/2015;524 2 05 23;524 2 05 23 5 021;UNHCR;Internal;Yellow House;Sindhupalchok;Thulo Dhading;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;15;15;3823;;;Completed;22/05/2015;23/05/2015;
Priority;4x4/Pickup access;Central;11/09/2015;524 2 05 28;524 2 05 28 5 018;UNHCR;Internal;Yellow House;Nuwakot;Mahakali;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;5;5;3823;;;Completed;22/05/2015;22/05/2015;
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 04 22;524 2 04 22 5 039;UNHCR;Internal;Yellow House;Dolakha;Bigu;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;4;4;3823;;;Completed;23/05/2015;23/05/2015;
Priority;;West;11/09/2015;524 3 07 36;524 3 07 36 5 065;UNHCR;Internal;Yellow House;Gorkha;Warpak;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;80;80;3823;;;Completed;14/05/2015;14/05/2015;
Priority;No road access - possibly no helicopter landing sites;West;11/09/2015;524 3 07 36;524 3 07 36 5 042;UNHCR;Internal;Yellow House;Gorkha;Samagaun;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;83;83;3823;;;Completed;14/05/2015;14/05/2015;
Priority;No road access - possibly no helicopter landing sites;East;11/09/2015;524 2 04 22;524 2 04 22 5 051;UNHCR;Internal;Yellow House;Dolakha;Bulung;Unknown;NFI;Lighting (Lamps, Candles);Targeted group;15;15;3823;;;Completed;21/05/2015;21/05/2015;
;;;25/05/2015;524 1 03 14;;UNICEF;;DDRC;Udayapur;;Unknown;Shelter;Tarpaulin;;142;142;;;;Completed;;;
;;;25/05/2015;524 1 03 14;;UNICEF;;DDRC;Udayapur;;Unknown;Shelter;Tarpaulin;;2000;2000;;;;Completed;;;
;;;25/05/2015;524 1 03 14;;UNICEF;;Nepal Red Cross;Udayapur;;Unknown;Shelter;Tarpaulin;;237;237;;;;Completed;;;
;;;25/05/2015;524 1 03 14;;UNICEF;;WSSDO;Udayapur;;Unknown;Shelter;Tarpaulin;;1000;1000;;;;Completed;;;
;;;25/05/2015;524 1 03 14;;UNICEF;;WSSDO;Udayapur;;Unknown;Shelter;Tarpaulin;;2912;2912;;;;Completed;;;
Priority;No road access - possibly no helicopter landing sites;West;25/05/2015;524 2 05 30;524 2 05 30 5 016;United Mission to Nepal;;Himalayan Community Salvation Society (HIMS);Dhading;Jharlang;All;NFI;Blankets;;1510;0;;;;Ongoing / In Country Stock;;;
Priority;No road access - possibly no helicopter landing sites;West;25/05/2015;524 2 05 30;524 2 05 30 5 016;United Mission to Nepal;;Himalayan Community Salvation Society (HIMS);Dhading;Jharlang;All;NFI;Household kits (excluding tarpaulins);;755;0;;;;Ongoing / In Country Stock;;;
Priority;No road access - possibly no helicopter landing sites;West;25/05/2015;524 2 05 30;524 2 05 30 5 016;United Mission to Nepal;;Himalayan Community Salvation Society (HIMS);Dhading;Jharlang;All;Shelter;Tarpaulin;;1510;1510;;;;Ongoing / In Country Stock;;;
Priority;No road access - possibly no helicopter landing sites;West;25/05/2015;524 2 05 30;524 2 05 30 5 016;United Mission to Nepal;;Himalayan Community Salvation Society (HIMS);Dhading;Jharlang;All;Shelter;Tool Kits;;151;0;;;;Planned (funded);;;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;4;NFI;Blankets;;121;121;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;1;NFI;Blankets;;124;124;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;7;NFI;Blankets;;193;193;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;2;NFI;Blankets;;200;200;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;3;NFI;Blankets;;207;207;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;5;NFI;Blankets;;223;223;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;6;NFI;Blankets;;234;234;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;8;NFI;Blankets;;316;316;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;9;NFI;Blankets;;367;367;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;4;NFI;Household kits (excluding tarpaulins);;121;121;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;1;NFI;Household kits (excluding tarpaulins);;124;124;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;7;NFI;Household kits (excluding tarpaulins);;193;193;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;2;NFI;Household kits (excluding tarpaulins);;200;200;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;3;NFI;Household kits (excluding tarpaulins);;207;207;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;5;NFI;Household kits (excluding tarpaulins);;223;223;;;;Completed;14/05/2015;14/05/2015;
Priority;;West;25/05/2015;524 2 05 30;524 2 05 30 5 048;United Mission to Nepal;;Chandra Jyoti Integrated Development Society;Dhading;Jiwanpur;6;NFI;Household kits (excluding tarpaulins);;234;234;;;;Completed;14/05/2015;14/05/2015;
