Priority;Hard to Reach Access Methods;Shelter Cluster Hub;Last Update;District HLCIT  Code;VDC / Municipality HLCIT  Code;Implementing agency;Sourcing Agency;Local partner agency;District;VDC / Municipalities;Municipal Ward;Action type;Action description;Targeting;# Items / # Man-hours / NPR;Total Number Households;Average cost per households (NPR);Female headed households;Vulnerable Caste / Ethnicity households ;Activity Status;Start date;Completion Date;Additional Comments
Priority;0;Central;26/09/2015;524 2 05 27;524 2 05 27 5 002;ACTED;IOM-USAID;;Kathmandu;Lapsiphedi;ward 4;Shelter;Tarpaulin;All / Blanket;100;100;2200;;;Completed;02/05/2015;02/05/2015;
Priority;;Central;26/09/2015;524 2 05 27;524 2 05 27 5 004;ACTED;IOM-USAID;;Kathmandu;Sangkhu Suntol;6, 7;Shelter;Tarpaulin;All / Blanket;200;200;2200;;;Completed;02/05/2015;02/05/2015;Shankarapur Municipality
Priority;;Central;26/09/2015;524 2 05 27;524 2 05 27 5 001;ACTED;IOM-USAID;;Kathmandu;Nanglebhare;1,2,3, 5;Shelter;Tarpaulin;All / Blanket;500;500;2200;;;Completed;02/05/2015;02/05/2015;Shankarapuri Municipality
Priority;;Central;26/09/2015;524 2 05 27;524 2 05 27 5 003;ACTED;IOM-USAID;;Kathmandu;Sangkhu Bajrayogini;8, 9, 10, 11;Shelter;Tarpaulin;All / Blanket;1000;1000;2200;;;Completed;04/05/2015;04/05/2015;Shankarapuri Municipality
Priority;;Central;26/09/2015;524 2 05 27;524 2 05 27 5 003;ACTED;IOM-USAID;;Kathmandu;Sangkhu Bajrayogini;ward 12;Shelter;Tarpaulin;All / Blanket;200;200;2200;;;Completed;02/05/2015;02/05/2015;Shankarapuri Municipality
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 053;ACTED;Shelterbox;;Sindhupalchok;Baramchae;1, 2, 4, 5, 9;Shelter;Tarpaulin;All / Blanket;536;522;2200;;;Completed;14/07/2015;14/07/2015;2 tarps/HH for HH living in highland area
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 053;ACTED;Shelterbox;;Sindhupalchok;Baramchae;3, 6, 7, 8;Shelter;Tarpaulin;All / Blanket;574;290;2200;;;Completed;15/07/2015;15/07/2015;2 tarps/HH for HH living in highland area
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 053;ACTED;Shelterbox;;Sindhupalchok;Baramchae;9;Shelter;Tarpaulin;All / Blanket;3;3;2200;;;Completed;15/07/2015;15/07/2015;
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 031;ACTED;IOM-DFID;;Sindhupalchok;Golche;Unknown;Shelter;Tarpaulin;Targeted group;11;11;2200;;;Completed;11/05/2015;11/05/2015;
Priority;No road access - possibly no helicopter landing sites;East;26/09/2015;524 2 05 23;524 2 05 23 5 057;ACTED;IOM-DFID;;Sindhupalchok;Gumba;Unknown;Shelter;Tarpaulin;All / Blanket;106;106;2200;;;Completed;11/05/2015;11/05/2015;
